Station;Komponente;Datum;Wert01;Wert02;Wert03;Wert04;Wert05;Wert06;Wert07;Wert08;Wert09;Wert10;Wert11;Wert12;Wert13;Wert14;Wert15;Wert16;Wert17;Wert18;Wert19;Wert20;Wert21;Wert22;Wert23;Wert24
'Amstetten';'Ozon';'20240625';64.37808990;62.24759674;57.54104614;54.97017670;51.35939789;50.83620453;60.45752716;69.49908447;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Annaberg';'Ozon';'20240625';-333;78.51779175;70.63017273;66.99415588;63.06760788;51.69532776;50.39552307;65.46937561;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Bad Vöslau';'Ozon';'20240625';63.35704041;63.22674179;63.36422729;58.73160553;51.49738312;50.56712341;65.32191467;74.61000061;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Dunkelsteinerwald';'Ozon';'20240625';39.44466782;37.66815948;36.32815170;33.74640274;30.09172821;35.42862701;67.80667877;69.54497528;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Forsthof';'Ozon';'20240625';87.84608459;87.86753845;86.11198425;84.51815796;82.20359802;78.42520142;71.95681763;66.46347809;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Gänserndorf';'Ozon';'20240625';62.40643311;58.12051392;27.50988007;41.82298279;44.80201721;46.67499924;56.26808167;63.78874207;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Hainburg';'Ozon';'20240625';58.37712097;62.91376114;53.21711731;35.87120438;-333;51.24067688;62.39805222;67.03176880;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Heidenreichstein';'Ozon';'20240625';58.29550934;-333;45.38896561;37.83168793;38.83596802;50.70072174;69.90374756;76.03052521;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Himberg';'Ozon';'20240625';62.65366364;46.40113068;54.06705856;-333;34.85375214;32.95652390;43.44903564;71.17042542;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Irnfritz';'Ozon';'20240625';73.69680786;66.70881653;59.41632462;54.85763550;56.71305847;51.12344360;57.04618835;69.41158295;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
